area,file,line,col,callee,ignore_comment
example,examples/app-embed/src/App.tsx,192,3,useEffect,
example,examples/app-embed/src/App.tsx,198,3,useEffect,
example,examples/audio-synth/src/App.tsx,252,3,useEffect,
example,examples/claude-code/src/App.tsx,16,3,useEffect,
example,examples/claude-code/src/components/BlankSlateCanvas.tsx,130,3,useEffect,
example,examples/claude-code/src/components/BlankSlateCanvas.tsx,177,3,useEffect,
example,examples/devctl/src/App.tsx,648,3,React.useEffect,prev-line
example,examples/hot-code/src/App.tsx,84,3,useEffect,
example,examples/keystroke/src/App.tsx,21,3,useEffect,
example,examples/llm-studio/src/App.tsx,138,3,useEffect,prev-line
example,examples/llm-studio/src/App.tsx,336,3,useEffect,prev-line
example,examples/llm-studio/src/App.tsx,1868,3,useEffect,prev-line
example,examples/llm-studio/src/App.tsx,2392,3,useEffect,prev-line
example,examples/llm-studio/src/App.tsx,2538,3,useEffect,prev-line
example,examples/tor-irc/src/App.tsx,485,3,useEffect,
example,examples/tor-irc/src/App.tsx,528,3,useEffect,
example,examples/tor-irc/src/App.tsx,551,3,useEffect,
example,examples/wallet/src/wallet/context.tsx,136,3,useEffect,
package,packages/ai/src/hooks.ts,392,3,useEffect,
package,packages/ai/src/keys.ts,33,3,useEffect,
package,packages/ai/src/mcp/hook.ts,43,3,useEffect,
package,packages/apis/src/base.ts,41,3,useEffect,
package,packages/apis/src/settings.ts,38,3,useEffect,
package,packages/apis/src/useServiceKey.ts,55,3,useEffect,
package,packages/apis/src/useServiceKey.ts,102,3,useEffect,
package,packages/audio/src/hooks.ts,371,3,useEffect,
package,packages/chemistry/src/hooks.ts,8,3,useEffect,
package,packages/chemistry/src/hooks.ts,18,3,useEffect,
package,packages/chemistry/src/hooks.ts,28,3,useEffect,
package,packages/chemistry/src/hooks.ts,46,3,useEffect,
package,packages/chemistry/src/hooks.ts,60,3,useEffect,
package,packages/core/src/animation.ts,200,3,useEffect,
package,packages/core/src/animation.ts,232,3,useEffect,
package,packages/core/src/FlatList.tsx,131,3,useEffect,
package,packages/core/src/FlatList.tsx,139,3,useEffect,
package,packages/core/src/hooks.ts,27,3,useEffect,
package,packages/core/src/hooks.ts,69,3,useEffect,
package,packages/core/src/hooks.ts,110,3,useEffect,
package,packages/core/src/hooks.ts,152,3,useEffect,
package,packages/core/src/hooks.ts,177,3,useEffect,
package,packages/core/src/hooks.ts,203,3,useEffect,
package,packages/core/src/hooks.ts,239,3,useEffect,
package,packages/core/src/hooks.ts,263,3,useEffect,
package,packages/core/src/hooks.ts,300,3,useEffect,
package,packages/core/src/hooks.ts,362,3,useEffect,
package,packages/core/src/hooks.ts,430,3,useEffect,
package,packages/core/src/hooks.ts,505,3,useEffect,
package,packages/core/src/hooks.ts,580,3,useEffect,
package,packages/core/src/hooks.ts,622,3,useEffect,
package,packages/core/src/hooks.ts,644,3,useEffect,
package,packages/core/src/Modal.tsx,40,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,263,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,267,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,273,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,319,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,323,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,327,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,438,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,453,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,459,3,useEffect,
package,packages/core/src/MonacoMirror.tsx,468,3,useEffect,
package,packages/core/src/overlay.ts,30,3,useEffect,
package,packages/core/src/overlay.ts,34,3,useEffect,
package,packages/core/src/Portal.tsx,79,3,useEffect,
package,packages/core/src/Pressable.tsx,96,3,useEffect,
package,packages/core/src/Pressable.tsx,106,3,useEffect,
package,packages/core/src/ScaleContext.tsx,55,3,useEffect,
package,packages/core/src/ScaleContext.tsx,68,3,useEffect,
package,packages/core/src/useAndroidVM.ts,37,3,useEffect,
package,packages/core/src/useAndroidVM.ts,43,3,useEffect,
package,packages/core/src/useBreakpoint.ts,104,3,useEffect,
package,packages/core/src/useBreakpoint.ts,121,3,useEffect,
package,packages/core/src/useBreakpoint.ts,141,3,useEffect,
package,packages/core/src/useCapabilities.ts,27,3,useEffect,
package,packages/core/src/useDebug.ts,45,3,useEffect,
